Job_ID	Operation_ID	Start	End	Machine_ID
1	1	101	106	4
1	2	111	217	2
1	3	222	227	5
1	4	279	354	7
1	5	354	359	4
1	6	359	434	18
1	7	434	439	4
1	8	481	484	8
1	9	484	489	6
1	10	489	519	10
1	11	519	524	6
1	12	552	639	7
1	13	648	653	5
1	14	653	683	16
1	15	683	688	5
1	16	735	792	7
1	17	792	797	6
1	18	797	832	17
1	19	832	837	5
1	20	837	841	8
1	21	841	846	5
1	22	846	856	18
1	23	856	861	6
1	24	861	894	7
1	25	894	899	5
1	26	899	944	18
1	27	944	949	5
1	28	951	996	7
2	29	101	106	6
2	30	111	217	1
2	31	217	222	5
2	32	222	297	8
2	33	297	302	5
2	34	302	377	15
2	35	377	382	5
2	36	441	444	7
2	37	444	449	5
2	38	449	479	16
2	39	479	484	6
2	40	484	571	8
2	41	571	576	6
2	42	578	608	18
2	43	613	618	5
2	44	792	849	7
2	45	849	854	5
2	46	854	889	15
2	47	889	894	6
2	48	894	898	7
2	49	898	903	6
2	50	903	913	15
2	51	913	918	4
2	52	918	951	7
2	53	951	956	4
2	54	956	1001	15
2	55	1001	1006	6
2	56	1014	1059	8
3	57	0	5	6
3	58	5	111	2
3	59	111	116	5
3	60	116	191	7
3	61	191	196	6
3	62	196	271	14
3	63	271	276	6
3	64	297	300	8
3	65	300	305	6
3	66	305	335	18
3	67	335	340	5
3	68	354	441	7
3	69	441	446	4
3	70	446	476	17
3	71	476	481	5
3	72	705	762	8
3	73	762	767	6
3	74	770	805	16
3	75	805	810	5
3	76	849	853	7
3	77	853	858	4
3	78	858	868	18
3	79	868	873	5
3	80	881	914	8
3	81	914	919	6
3	82	919	964	17
3	83	964	969	5
3	84	969	1014	8
4	85	207	212	5
4	86	217	323	2
4	87	323	328	5
4	88	406	481	8
4	89	481	486	5
4	90	486	561	17
4	91	561	566	6
4	92	605	608	8
4	93	608	613	5
4	94	613	643	18
4	95	643	648	5
4	96	648	735	7
4	97	735	740	6
4	98	740	770	16
4	99	770	775	6
4	100	775	832	8
4	101	832	837	6
4	102	837	872	17
4	103	872	877	6
4	104	877	881	8
4	105	881	886	6
4	106	886	896	10
4	107	896	901	4
4	108	914	947	8
4	109	954	959	6
4	110	964	1009	17
4	111	1009	1014	6
4	112	1014	1059	7
5	113	0	5	5
5	114	5	111	1
5	115	111	116	6
5	116	116	191	8
5	117	191	196	5
5	118	196	271	17
5	119	271	276	5
5	120	276	279	7
5	121	279	284	6
5	122	284	314	17
5	123	314	319	6
5	124	319	406	8
5	125	406	411	4
5	126	411	441	16
5	127	441	446	6
5	128	446	503	7
5	129	503	508	5
5	130	508	543	18
5	131	543	548	4
5	132	548	552	7
5	133	552	557	5
5	134	557	567	18
5	135	567	572	3
5	136	572	605	8
5	137	605	610	6
5	138	610	655	17
5	139	655	660	6
5	140	660	705	8
